,code,list
0,0,"{'id': 'f908050', 'type': '春运防护', 'title': '疫情阴影下返工 如何跨越心理的坎', 'q': '疫情下返工的心理阴影如何消除？', 'a': '饱受疫情影响的春节假期接近尾声，不少人踏上返工路。虽然有居家办公、线上办公等弹性模式，但看不见摸不着的病毒、不断增加的病例数还是给人心头蒙上阴影。对非常时期返岗复工的人，江西省心理咨询师协会理事长、南昌大学教授陈建华表达了敬意，同时她也强调，要有足够的思想准备和科学的个人防护措施，做到健康返岗，高效复工。', 'imgList': [], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=vaKZEUk3DWgRuaZk2mCdfoa8108BOJYGXvacMM7cu9k=', 'source': '科技日报', 'timestamp': 1580973909300}"
1,0,"{'id': 'c1defb2', 'type': '春运防护', 'title': '外出回家要消毒吗？专家谈居家消毒那些事儿', 'q': '外出回家要消毒吗？', 'a': '不用。如果在外面摸了脏东西，别用手揉眼睛、抠鼻子，也别把手放嘴里。回家之后先洗手就行了，出门穿的衣服、鞋子可以放在门口，不用特殊消毒。', 'imgList': [], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=vaKZEUk3DWgRuaZk2mCdfkS_j6HzzhHi3msNywPbOf4=', 'source': '人民网', 'timestamp': 1580973448641}"
2,0,"{'id': '1ec800d', 'type': '外出防护', 'title': '北京的雪下得这么大，病毒会被杀了吗？', 'q': '可以外出玩雪吗？', 'a': '对于雪天对疫情整体的影响，两位专家认为要下结论还为时尚早，因果关系较为复杂。一方面，下雪天的确会降低气溶胶传播，空气中的带菌颗粒能够沉积到地面；另一方面，病毒并未因此而消灭。下雪当时的局部气温、空气潮湿度、持续时间，都是影响因子，应进行综合分析。', 'imgList': [], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=vaKZEUk3DWgRuaZk2mCdfjPCDAyDJmGzodJI9j2exxI=', 'source': '北京知道', 'timestamp': 1580973386886}"
3,0,"{'id': 'ac39ea2', 'type': '外出防护', 'title': '【从我做起 共同战“疫”】问诊就医该注意什么？', 'q': '问诊就医该注意什么？', 'a': '首都医科大学宣武医院急诊科主任 王晶：如果不是急危重症情况，尽量减少来医院的频次，如果因为其他疾病必须来医院就诊的话，也建议做好个人防护，戴好口罩，能够尽可能地选择私家车，少选择公共交通工具。', 'imgList': ['http://img03.sogoucdn.com/v2/thumb/resize/w/640/t/2/retype/ext/jpg/q/75?appid=200556&url=http%3A%2F%2Fimg03.sogoucdn.com%2Fapp%2Fa%2F200883%2Fce1b0ce7e54b0834df3840d713f9b8ca'], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=vaKZEUk3DWgRuaZk2mCdfireSLhwrDk5Y2ptqdcPBqc=', 'source': '央视网', 'timestamp': 1580973224524}"
4,0,"{'id': 'c51fef9', 'type': '春运防护', 'title': '疫情当前上班如何战""疫"" 教你几招做好防范', 'q': '必须返工后，如何防疫？', 'a': '第一招，保持室内空气流通。专家表示，工作场所应优先打开窗户采用自然通风，有条件的可以开启排风扇等抽气装置以加强室内空气流动。使用集中空调通风系统时，应保证集中空调系统运转正常，关闭回风系统，采用全新风运行，确保室内有足够的新风量。第二招，会议非必须，不举办。在疫情防控期间，按照“非必须，不举办”的原则，尽量减少或避免举办大型会议及室内外群众性活动。', 'imgList': [], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=vaKZEUk3DWgRuaZk2mCdfgf2vVcGWf3l3wC6zKFg-Z0=', 'source': '人民网', 'timestamp': 1580973059581}"
5,0,"{'id': '2669b33', 'type': '春运防护', 'title': 'N95口罩可以用几天？如何选一只合适你的口罩？这些方法学起来', 'q': 'N95口罩可以用几天？', 'a': '1.N95口罩如果没有污染，没有沾染飞沫，没有变形，口罩和面部贴合紧密，一般可以佩戴三天。但是如果接触了新冠的病人，或者感觉佩戴时有呼吸困难需要及时丢弃的。2. 外科口罩及医用口罩一般连续佩戴4小时进行更换，污染或潮湿时随时更换。', 'imgList': [], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=vaKZEUk3DWgRuaZk2mCdfnrKL4-RazstKxbxvVsvdpg=', 'source': '央视网', 'timestamp': 1580972886448}"
6,0,"{'id': 'be788cc', 'type': '春运防护', 'title': '坐电梯、出行要不要戴手套？李兰娟：没必要，勤洗手就行了', 'q': '坐电梯、出行要不要戴手套？', 'a': '国家卫健委高级别专家组成员李兰娟：我认为没有必要，我是传染科的医生，我到病房里去见了很多有传染性的病人，无非也就是检查好以后洗个手，用流水冲洗就可以了。只有直接接触污染物的时候才需要戴手套，一般是不需要戴手套的，只要你勤洗手，回家率先洗个手就可以了。', 'imgList': ['http://img03.sogoucdn.com/v2/thumb/resize/w/640/t/2/retype/ext/jpg/q/75?appid=200556&url=http%3A%2F%2Fimg04.sogoucdn.com%2Fapp%2Fa%2F200883%2F033603287b73fb7a252b0451b92e4166'], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=vaKZEUk3DWgRuaZk2mCdfqygh8xzuUiuDxvzt5tVHhc=', 'source': '中国青年报', 'timestamp': 1580972798238}"
7,0,"{'id': '925c98b', 'type': '居家防护', 'title': '慢病患者怎么防好新冠肺炎？靠谱攻略来了！ ', 'q': '慢病患者怎么防好新冠肺炎？', 'a': '高血压患者：每天测量血压，出现以下任一危急情况需尽快联系医生或就诊：收缩压≥180mmHg和(或)舒张压≥110mmHg；意识改变、剧烈头痛或头晕、恶心呕吐、视力模糊、眼痛、心悸、胸闷等危急情况之一。糖尿病患者：自我监测血糖、血压，出现以下任一危急情况需尽快联系医生或就诊：血糖≥16.7mmol/L或血糖≤3.9mmol/L；收缩压≥180mmHg和/或舒张压≥110mmHg；意识或行为改变、或有其他的突发异常情况，如视力骤降。', 'imgList': [], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=vaKZEUk3DWgRuaZk2mCdfqUJBWTcNXF61lMDbkfNMuE=', 'source': '成华卫健', 'timestamp': 1580972698181}"
8,0,"{'id': '4dd05eb', 'type': '春运防护', 'title': '防疫期间,生活中的随身小物件你会消毒吗?', 'q': '随身小物件如何消毒?', 'a': '1、钥匙可谓是人类最亲密的“伴侣”，它与我们每个人的生活都密切相关，但它也是各类病毒、细菌生存繁衍的“风水宝地”，钥匙可以每日用药皂在洗手时一同清洗，或与其他需要消毒的物品一道放入500mg/L的含氯消毒剂中浸泡30分钟左右，然后用清水冲洗干净。所以我们回到家及时洗手，钥匙也一样。', 'imgList': [], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=e5tk0-8digK_-CB2VMRggjNYDmtIziunGgLsxTObviU=', 'source': '人民网', 'timestamp': 1580809319793}"
9,0,"{'id': '6ad0d3f', 'type': '春运防护', 'title': '【健康小站】疫情防控，乘坐交通工具必须注意！', 'q': '乘坐交通工具要注意啥？', 'a': '佩戴口罩、手套、乘坐公共交通工具时，建议佩戴符合规定的口罩，旅行结束时应及时弃用。有条件的人员可选择佩戴手套，一次性使用手套不可重复使用，其他重复使用手套需注意清洗消毒，可流通蒸汽或煮沸消毒30min，或先用500mg/L的含氯消毒液浸泡30min，然后常规清洗即可。', 'imgList': ['http://img03.sogoucdn.com/v2/thumb/resize/w/640/t/2/retype/ext/jpg/q/75?appid=200556&url=http%3A%2F%2Fimg04.sogoucdn.com%2Fapp%2Fa%2F200883%2Ff4a19e2d50e7b4619c48cd5602d838b6'], 'linkUrl': 'http://sa.sogou.com/sgsearch/sgs_tc_news.php?req=e5tk0-8digK_-CB2VMRggji4ZGigpoimP2M8Hq47zWI=', 'source': '青浦卫计新声', 'timestamp': 1580809246061}"
