,name,confirm,suspect,dead,heal
0,中国,79971,851,2873,41712
1,韩国,3150,0,13,24
2,钻石号邮轮,705,0,6,0
3,意大利,653,0,17,45
4,伊朗,270,0,26,49
5,日本本土,240,0,6,1
6,新加坡,102,0,0,72
7,德国,66,0,0,16
8,美国,60,0,0,3
9,科威特,43,0,0,0
10,泰国,42,0,0,28
11,法国,38,0,2,12
12,巴林,33,0,0,0
13,马来西亚,23,0,0,15
14,澳大利亚,23,0,0,15
15,阿联酋,19,0,0,5
16,英国,16,0,0,8
17,越南,16,0,0,16
18,加拿大,13,0,0,4
19,西班牙,13,0,0,2
20,瑞典,7,0,0,0
21,以色列,6,0,0,1
22,挪威,6,0,0,0
23,瑞士,6,0,0,0
24,阿曼,6,0,0,0
25,伊拉克,6,0,0,0
26,俄罗斯,5,0,0,2
27,黎巴嫩,3,0,0,0
28,印度,3,0,0,3
29,奥地利,3,0,0,0
30,希腊,3,0,0,0
31,克罗地亚,3,0,0,0
32,菲律宾,3,0,1,1
33,丹麦,3,0,0,0
34,芬兰,2,0,0,1
35,巴西,1,0,0,0
36,阿尔及利亚,1,0,0,0
37,北马其顿,1,0,0,0
38,荷兰,1,0,0,0
39,阿富汗,1,0,0,0
40,尼泊尔,1,0,0,1
41,爱沙尼亚,1,0,0,0
42,柬埔寨,1,0,0,1
43,格鲁吉亚,1,0,0,0
44,罗马尼亚,1,0,0,0
45,斯里兰卡,1,0,0,1
46,比利时,1,0,0,1
